Nazwa funduszu,Kurs,Waluta,St. zw. 1D,St. zw. 7D,St. zw. 1M,St. zw. 3M,St. zw. 1R,St. zw. 3L,Data,Ranking 12M

Acer Aggressive FIZ,"168,54",PLN,"0,00","0,00","1,63","0,00","0,00","0,00",2016-03-23,-
AGIO Agresywny (AGIO SFIO),"1 096,67",PLN,"0,00","1,59","4,85","4,74","-8,35","6,56",2016-03-22,
AGIO Akcji PLUS (AGIO PLUS FIO),"113,23",PLN,"0,01","2,74","13,17","0,00","0,00","0,00",2016-03-22,-
AGIO Globalny (AGIO SFIO),"932,91",PLN,"0,00","0,63","3,76","1,36","-5,87","-0,01",2016-03-22,-
AGIO Globalny (EUR) (AGIO SFIO),"217,06",EUR,"0,00","1,18","5,99","2,12","-9,22","-3,36",2016-03-22,-
AGIO Globalny (USD) (AGIO SFIO),"240,76",USD,"0,00","2,31","5,59","3,70","-5,09","-16,98",2016-03-22,-
AGIO Kapitał (AGIO SFIO),"1 364,75",PLN,"0,00","0,04","0,28","0,67","3,12","14,37",2016-03-22,
AGIO Kapitał (EUR) (AGIO SFIO),"317,53",EUR,"0,00","0,59","2,44","1,43","-0,55","10,53",2016-03-22,-
AGIO Kapitał (USD) (AGIO SFIO),"352,20",USD,"0,00","1,70","2,04","3,00","3,98","-5,05",2016-03-22,-
AGIO Kapitał PLUS FIO,"118,37",PLN,"0,14","0,16","0,35","0,61","2,94","11,97",2016-03-22,
""
AGIO Market Neutral FIZ,"979,28",PLN,"0,00","0,00","0,70","0,00","0,00","0,00",2016-03-23,-
AGIO Nieruchomości Komercyjnych FIZ AN,"1 062,94",PLN,"0,00","0,00","0,26","0,00","0,00","0,00",2016-03-23,-
AGIO Obligacji PLUS (AGIO PLUS FIO),"100,02",PLN,"0,00","-0,02","-0,04","0,00","0,00","0,00",2016-03-22,-
AGIO Stabilny PLUS (AGIO PLUS FIO),"100,26",PLN,"-0,01","0,21","0,21","0,00","0,00","0,00",2016-03-22,-
AGIO Wierzytelności NSFIZ,"270,66",PLN,"0,00","0,00","0,28","0,00","0,00","0,00",2016-03-23,-
AGIO Wierzytelności Plus 2 NSFIZ,"184 769,00",PLN,"0,00","0,00","0,43","0,00","0,00","0,00",2016-03-23,-
AGIO Wierzytelności Plus NSFIZ,"212,58",PLN,"0,00","0,00","0,55","0,00","0,00","0,00",2016-03-23,-
Akcyjny + FIZ,"84,94",PLN,"0,00","0,00","-0,07","0,00","0,00","0,00",2016-03-23,-
Alior Agresywny (Alior SFIO),"75,66",PLN,"0,05","0,88","3,28","1,42","-12,69","-12,59",2016-03-22,
Alior Papierów Dłużnych (Alior SFIO),"108,16",PLN,"0,02","0,07","0,31","0,22","-1,86","0,00",2016-03-22,-
Alior Pieniężny (Alior SFIO),"100,19",PLN,"0,24","0,18","0,00","0,00","0,00","0,00",2016-03-22,-
Alior Stabilnych Spółek (Alior SFIO),"100,74",PLN,"-0,02","1,76","4,31","3,44","-15,30","-16,97",2016-03-22,
Alior Zmiennej Alokacji (Alior SFIO),"70,04",PLN,"0,20","1,17","2,67","-0,40","-16,04","-24,52",2016-03-22,
Allianz Akcji (Allianz FIO),"134,33",PLN,"0,01","1,73","4,16","2,84","-16,05","-16,40",2016-03-22,
Allianz Akcji Azjatyckich (Allianz SFIO),"92,29",PLN,"-0,22","2,46","6,97","-0,85","0,00","0,00",2016-03-22,-
Allianz Akcji Globalnych (Allianz FIO),"106,20",PLN,"-0,37","1,07","3,96","-1,56","-9,23","0,00",2016-03-22,
Allianz Akcji Małych i Średnich Spółek (Allianz FIO),"117,40",PLN,"-0,55","0,26","2,91","0,63","-9,63","14,34",2016-03-22,
Allianz Aktywnej Alokacji (Allianz FIO),"103,12",PLN,"0,16","0,55","1,44","-0,57","-9,38","-13,02",2016-03-22,-
Allianz Discovery FIZ seria A,"1 175,87",PLN,"0,00","0,00","0,79","-2,73","0,00","0,00",2016-03-23,-
Allianz Discovery FIZ seria B,"1 178,88",PLN,"0,00","0,00","-0,81","-2,91","0,00","0,00",2016-03-23,-
Allianz Globalny Stabilnego Dochodu (Allianz FIO),"103,21",PLN,"-0,11","0,63","2,48","2,92","0,00","0,00",2016-03-22,-
Allianz Long-Short Strategy FIZ seria A,"310,92",PLN,"0,00","0,00","0,00","0,90","2,53","-4,08",2016-03-23,-
Allianz Long-Short Strategy FIZ seria B,"313,54",PLN,"0,00","0,00","0,00","1,09","0,00","0,00",2016-03-23,-
Allianz Nowa Energia FIZ,"908,22",PLN,"0,00","0,00","-1,88","0,00","0,00","0,00",2016-03-23,-
Allianz Obligacji Globalnych (Allianz FIO),"101,04",PLN,"-0,05","0,45","1,97","0,65","-3,24","0,00",2016-03-22,-
Allianz Obligacji Korporacyjnych FIZ seria A,"1 130,32",PLN,"0,00","0,00","0,22","0,00","0,00","0,00",2016-03-23,
Allianz Obligacji Korporacyjnych FIZ seria B,"1 130,59",PLN,"0,00","0,00","0,27","0,00","0,00","0,00",2016-03-23,
Allianz Obligacji Korporacyjnych FIZ seria C,"1 160,02",PLN,"0,00","0,00","0,36","0,00","0,00","0,00",2016-03-23,
Allianz Obligacji Plus (Allianz FIO),"159,54",PLN,"0,00","0,06","1,02","0,77","-0,95","0,00",2016-03-22,
Allianz Obligacji Plus A1 (Allianz FIO),"160,47",PLN,"-0,01","0,06","1,05","0,89","-0,45","0,00",2016-03-22,-
Allianz Obligacji Plus A2 (Allianz FIO),"160,47",PLN,"-0,01","0,06","1,05","0,89","-0,45","0,00",2016-03-22,-
Allianz Pieniężny (Allianz FIO),"148,66",PLN,"-0,03","0,01","0,25","0,81","0,37","6,37",2016-03-22,
Allianz Polskich Obligacji Skarbowych (Allianz FIO),"137,73",PLN,"-0,06","-0,06","0,32","1,39","-0,89","8,18",2016-03-22,
Allianz Selektywny (Allianz FIO),"86,96",PLN,"0,23","1,62","3,78","1,48","-11,88","4,56",2016-03-22,
Allianz Stabilnego Wzrostu (Allianz FIO),"124,67",PLN,"-0,05","0,55","1,57","1,27","-6,29","-2,59",2016-03-22,
Allianz Surowców i Energii (Allianz FIO),"92,21",PLN,"-0,03","1,47","8,79","3,72","-11,11","0,00",2016-03-22,-
ALTUS Absolutnej Stopy Zwrotu Dłużny (FIO Parasolowy),"117,08",PLN,"0,03","0,17","0,93","4,49","2,02","12,96",2016-03-22,-
ALTUS Absolutnej Stopy Zwrotu FIZ GlobAl,"105,56",PLN,"0,00","0,00","0,07","0,00","0,00","0,00",2016-03-23,-
ALTUS Absolutnej Stopy Zwrotu FIZ Obligacji 1,"129,59",PLN,"0,00","0,00","0,59","0,00","0,00","0,00",2016-03-23,-
ALTUS Absolutnej Stopy Zwrotu FIZ Rynku Polskiego 2,"144,16",PLN,"0,00","0,00","0,90","0,00","0,00","0,00",2016-03-23,-
ALTUS Absolutnej Stopy Zwrotu Nowej Europy (FIO Parasolowy),"109,42",PLN,"0,14","0,89","0,96","0,77","0,83","0,00",2016-03-22,-
ALTUS Absolutnej Stopy Zwrotu Rynków Zagranicznych (ALTUS Absolutnej Stopy Zwrotu FIZ),"225,51",PLN,"0,00","0,00","0,71","0,00","0,00","0,00",2016-03-23,-
ALTUS Absolutnej Stopy Zwrotu Rynku Polskiego (ALTUS Absolutnej Stopy Zwrotu FIZ),"221,82",PLN,"0,00","0,00","0,86","0,00","0,00","0,00",2016-03-23,-
ALTUS Absolutnej Stopy Zwrotu Rynku Polskiego (FIO Parasolowy),"134,80",PLN,"0,21","0,54","0,50","0,54","0,49","10,68",2016-03-22,-
ALTUS Akcji (FIO Parasolowy),"143,93",PLN,"0,17","1,67","3,33","0,88","-7,03","13,49",2016-03-22,
ALTUS Aktywnego Zarządzania (FIO Parasolowy),"110,74",PLN,"0,00","0,86","1,21","0,64","-2,93","0,00",2016-03-22,
ALTUS FIZ Akcji +,"124,75",PLN,"0,00","0,00","1,07","0,00","0,00","0,00",2016-03-23,
ALTUS FIZ Aktywnej Alokacji Spółek Dywidendowych,"125,33",PLN,"0,00","0,00","0,29","0,00","0,00","0,00",2016-03-23,-
ALTUS FIZ Aktywny Akcji,"103,66",PLN,"0,00","0,00","1,95","0,00","0,00","0,00",2016-03-23,
ALTUS FIZ GlobAl 2,"108,05",PLN,"0,00","0,00","0,51","0,00","0,00","0,00",2016-03-23,-
ALTUS NSFIZ Wierzytelności,"218 343,00",PLN,"0,00","0,00","0,37","1,67","0,00","0,00",2016-03-23,-
ALTUS NSFIZ Wierzytelności 2,"199 860,00",PLN,"0,00","0,00","0,74","0,09","0,00","0,00",2016-03-23,-
ALTUS Optymalnego Wzrostu (FIO Parasolowy),"109,78",PLN,"0,08","0,41","0,46","-0,02","0,19","0,00",2016-03-22,-
ALTUS Pieniężny (FIO Parasolowy),"106,33",PLN,"0,00","0,09","0,43","1,42","1,57","0,00",2016-03-22,
ALTUS Short (FIO Parasolowy),"107,16",PLN,"-0,63","-2,76","-4,80","-3,78","12,24","17,56",2016-03-22,-
ALTUS Stabilnego Wzrostu (FIO Parasolowy),"118,10",PLN,"0,11","0,74","1,71","0,66","-1,82","0,00",2016-03-22,
Amundi Akcji Małych i Średnich Spółek (Amundi Parasolowy FIO),"103,27",PLN,"0,02","0,35","3,03","-0,31","-6,32","0,00",2016-03-22,
Amundi Akcyjny (Amundi Parasolowy FIO),"88,42",PLN,"0,29","0,57","3,74","-0,05","-14,31","0,00",2016-03-22,
Amundi Globalnych Perspektyw (Amundi Parasolowy FIO),"100,30",PLN,"0,06","0,22","1,32","0,00","0,00","0,00",2016-03-22,-
Amundi Obligacji (Amundi Parasolowy FIO),"106,56",PLN,"0,01","0,01","1,02","0,16","-2,94","0,00",2016-03-22,
Amundi Płynnościowy (Amundi Parasolowy FIO),"104,03",PLN,"-0,01","0,01","0,11","0,56","1,56","0,00",2016-03-22,
Amundi Stabilnego Wzrostu (Amundi Parasolowy FIO),"101,56",PLN,"0,10","0,16","1,26","-0,38","-5,88","0,00",2016-03-22,
Amundi Zrównoważony (Amundi Parasolowy FIO),"97,36",PLN,"0,11","0,33","2,16","-0,63","-8,50","0,00",2016-03-22,
Andromeda FIZ seria A,"1 189,46",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
Andromeda FIZ seria B,"1 091,43",PLN,"0,00","0,00","0,00","0,00","0,00","0,00",2016-03-23,-
